rank,word,cefr_level_estimate,part_of_speech,vietnamese_meaning,example,example_vietnamese,ranking_basis,source_urls
1,research,B2,noun,nghiên cứu,She is researching into the Covid19 vaccine,Cô đang nghiên cứu vắc xin Covid19,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
2,data,B2,noun,dữ liệu,The study collected data from participants.,Nghiên cứu thu thập dữ liệu từ những người tham gia.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
3,process,B2,noun,quá trình,Each time we have to go through the whole decision-making process again.,Mỗi lần chúng ta phải thực hiện lại toàn bộ quá trình ra quyết định.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
4,community,B2,noun,cộng đồng,There's a large black community living in this area.,Có một cộng đồng người da đen lớn sống ở khu vực này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
5,result,B2,noun,kết quả,The result of the experiment confirmed our hypothesis.,Kết quả thí nghiệm đã xác nhận giả thuyết của chúng tôi.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
6,evidence,B2,noun,bằng chứng,Hair is usually used as an evidence to find out who is the murderer,Tóc thường được dùng làm bằng chứng để tìm ra kẻ sát nhân,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
7,analysis,B2,noun,phân tích,Many companies are investing heavily into business analysis.,Nhiều công ty đang đầu tư mạnh vào phân tích kinh doanh.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
8,project,B2,noun,dự án,A growth rate of 4 per cent is projected for next year.,Tốc độ tăng trưởng được dự đoán là 4% trong năm tới.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
9,method,B2,noun,phương pháp,He has a new teaching method,Anh có phương pháp giảng dạy mới,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
10,impact,B2,noun,tác động,The bullet explodes on impact (= when it hits another object).,Viên đạn phát nổ khi va chạm (= khi nó chạm vào vật thể khác).,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
11,government,B2,noun,chính phủ,She has resigned from the Government.,Cô đã từ chức khỏi Chính phủ.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
12,approach,B2,noun,cách tiếp cận,Let's think of the best approach to this problem.,Hãy nghĩ cách tiếp cận tốt nhất cho vấn đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
